CowID,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,still_milking,AniLifeNumber
727,2,1,2023-03-26 00:00:00.000,2023-03-26 00:00:00.000,2024-01-29 00:00:00.000,309,9391.5,5.442419,3.583258,2024-01-29 00:00:00.000,NULL,1,FR 4404288480
736,1,1,2023-01-13 00:00:00.000,2023-01-13 00:00:00.000,2023-09-29 00:00:00.000,259,8388.7,4.349192,3.586384,2023-09-29 00:00:00.000,NULL,1,FR 4404288481
740,1,1,2023-01-01 00:00:00.000,2023-01-02 00:00:00.000,2024-04-12 00:00:00.000,466,16291.1,3.991199,3.460299,2024-04-12 00:00:00.000,NULL,1,FR 4404288482
741,1,1,2023-03-15 00:00:00.000,2023-03-15 00:00:00.000,2023-06-12 00:00:00.000,89,3584.4,2.759111,3.204666,2023-06-12 00:00:00.000,NULL,1,FR 4404288483
743,1,1,2023-05-01 00:00:00.000,2023-05-02 00:00:00.000,2024-03-18 00:00:00.000,321,10862.4,4.830652,3.298664,2024-03-18 00:00:00.000,49,0,FR 4404288484
743,2,2,2024-05-06 00:00:00.000,2024-05-06 00:00:00.000,2024-09-19 00:00:00.000,136,6692.8,3.827518,3.202043,2024-09-19 00:00:00.000,NULL,1,FR 4404288484
745,1,1,2023-03-19 00:00:00.000,2023-03-20 00:00:00.000,2023-12-15 00:00:00.000,270,8914.1,3.880000,3.346420,2023-12-15 00:00:00.000,61,0,FR 4404288485
745,2,2,2024-02-14 00:00:00.000,2024-02-14 00:00:00.000,2024-09-19 00:00:00.000,218,9666.3,3.371552,3.359269,2024-09-19 00:00:00.000,NULL,1,FR 4404288485
748,1,1,2023-05-05 00:00:00.000,2023-05-06 00:00:00.000,2024-06-21 00:00:00.000,412,13396.2,4.490750,3.661985,2024-06-21 00:00:00.000,60,0,FR 4404288486
748,2,2,2024-08-20 00:00:00.000,2024-08-20 00:00:00.000,2024-09-12 00:00:00.000,23,911.0,3.903333,3.894583,2024-09-12 00:00:00.000,NULL,1,FR 4404288486
752,1,1,2023-04-11 00:00:00.000,2023-04-11 00:00:00.000,2024-01-12 00:00:00.000,276,7594.3,4.709422,3.360397,2024-01-12 00:00:00.000,67,0,FR 4404288487
752,2,2,2024-03-19 00:00:00.000,2024-03-19 00:00:00.000,2024-09-19 00:00:00.000,184,7551.5,4.363459,3.320486,2024-09-19 00:00:00.000,NULL,1,FR 4404288487
758,1,1,2023-03-25 00:00:00.000,2023-03-26 00:00:00.000,2024-01-12 00:00:00.000,292,11068.4,3.870547,3.417671,2024-01-12 00:00:00.000,62,0,FR 4404288488
758,2,2,2024-03-14 00:00:00.000,2024-03-14 00:00:00.000,2024-09-19 00:00:00.000,189,9893.8,3.248263,3.348842,2024-09-19 00:00:00.000,NULL,1,FR 4404288488
763,1,1,2023-04-29 00:00:00.000,2023-04-30 00:00:00.000,2024-02-10 00:00:00.000,286,8851.3,3.560419,3.248846,2024-02-10 00:00:00.000,56,0,FR 4404288490
763,2,2,2024-04-06 00:00:00.000,2024-04-06 00:00:00.000,2024-09-19 00:00:00.000,166,7368.8,3.126227,3.127425,2024-09-19 00:00:00.000,NULL,1,FR 4404288490
769,1,1,2023-04-21 00:00:00.000,2023-04-21 00:00:00.000,2024-07-26 00:00:00.000,462,15511.4,5.519546,3.631144,2024-07-26 00:00:00.000,52,0,FR 4404288491
769,2,2,2024-09-16 00:00:00.000,2024-09-16 00:00:00.000,2024-09-18 00:00:00.000,2,42.2,3.916666,5.226666,2024-09-18 00:00:00.000,NULL,1,FR 4404288491
770,2,2,2024-09-14 00:00:00.000,2024-09-14 00:00:00.000,2024-09-19 00:00:00.000,5,127.2,4.655000,4.108333,2024-09-19 00:00:00.000,NULL,1,FR 4404288492
770,1,1,2023-05-16 00:00:00.000,2023-05-16 00:00:00.000,2024-07-17 00:00:00.000,428,14960.2,4.436783,3.314032,2024-07-17 00:00:00.000,59,0,FR 4404288492
771,2,2,2024-08-11 00:00:00.000,2024-08-12 00:00:00.000,2024-09-12 00:00:00.000,31,1202.2,4.650000,3.505625,2024-09-12 00:00:00.000,NULL,1,FR 4404288493
771,1,1,2023-03-15 00:00:00.000,2023-03-16 00:00:00.000,2024-03-22 00:00:00.000,372,10467.5,4.906782,3.564718,2024-03-22 00:00:00.000,143,0,FR 4404288493
773,2,2,2024-02-05 00:00:00.000,2024-02-05 00:00:00.000,2024-09-19 00:00:00.000,227,9187.1,4.115307,3.252236,2024-09-19 00:00:00.000,NULL,1,FR 4404288494
773,1,1,2023-03-10 00:00:00.000,2023-03-10 00:00:00.000,2023-12-15 00:00:00.000,280,8290.7,4.490535,3.263500,2023-12-15 00:00:00.000,52,0,FR 4404288494
780,2,2,2024-03-15 00:00:00.000,2024-03-15 00:00:00.000,2024-09-19 00:00:00.000,188,7892.3,3.831111,3.404867,2024-09-19 00:00:00.000,NULL,1,FR 4404288495
780,1,1,2023-04-02 00:00:00.000,2023-04-02 00:00:00.000,2024-01-12 00:00:00.000,285,8577.2,4.187377,3.488181,2024-01-12 00:00:00.000,63,0,FR 4404288495
783,2,2,2024-05-28 00:00:00.000,2024-05-28 00:00:00.000,2024-09-19 00:00:00.000,114,5842.8,3.846106,3.455575,2024-09-19 00:00:00.000,NULL,1,FR 4404288496
783,1,1,2023-05-21 00:00:00.000,2023-05-22 00:00:00.000,2024-03-29 00:00:00.000,312,10554.3,4.251086,3.459297,2024-03-29 00:00:00.000,60,0,FR 4404288496
784,2,2,2024-04-17 00:00:00.000,2024-04-17 00:00:00.000,2024-09-19 00:00:00.000,155,7004.9,4.306666,3.163012,2024-09-19 00:00:00.000,NULL,1,FR 4404288497
784,1,1,2023-04-01 00:00:00.000,2023-04-03 00:00:00.000,2024-02-23 00:00:00.000,326,10471.7,4.862844,3.205688,2024-02-23 00:00:00.000,54,0,FR 4404288497
785,2,2,2024-02-16 00:00:00.000,2024-02-16 00:00:00.000,2024-09-19 00:00:00.000,216,9045.5,3.860460,3.519723,2024-09-19 00:00:00.000,NULL,1,FR 4404288498
