AniLifeNumber,Month,mdpMonthlyMilkYield_Liters
FR 4404288100,2017-02,831.553398
FR 4404288101,2017-02,992.330097
FR 4404288102,2017-02,706.990291
FR 4404288105,2017-02,1155.242718
FR 4404288106,2017-02,95.728155
FR 4404288109,2017-02,794.854368
FR 4404288110,2017-02,708.834951
FR 4404288111,2017-02,737.961165
FR 4404288112,2017-02,907.281553
FR 4404288115,2017-02,566.213592
FR 4404288116,2017-02,1132.621359
FR 4404288120,2017-02,1357.669902
FR 4404288121,2017-02,970.097087
FR 4404288122,2017-02,570.776699
FR 4404288126,2017-02,829.126213
FR 4404288127,2017-02,955.728155
FR 4404288128,2017-02,656.893203
FR 4404288129,2017-02,419.320388
FR 4404288130,2017-02,824.174757
FR 4404288131,2017-02,1006.893203
FR 4404288132,2017-02,400.097087
FR 4404288134,2017-02,1032.427184
FR 4404288136,2017-02,1084.077669
FR 4404288137,2017-02,1032.038834
FR 4404288138,2017-02,928.349514
FR 4404288139,2017-02,573.203883
FR 4404288141,2017-02,1137.961165
FR 4404288143,2017-02,684.660194
FR 4404288145,2017-02,652.912621
FR 4404288146,2017-02,144.466019
FR 4404288149,2017-02,667.087378
FR 4404288150,2017-02,560.873786
FR 4404288151,2017-02,536.893203
FR 4404288153,2017-02,134.368932
FR 4404288154,2017-02,615.339805
FR 4404288155,2017-02,876.601941
FR 4404288156,2017-02,772.233009
FR 4404288157,2017-02,724.660194
FR 4404288158,2017-02,750.194174
FR 4404288159,2017-02,734.757281
FR 4404288161,2017-02,618.252427
FR 4404288162,2017-02,832.621359
FR 4404288163,2017-02,920.873786
FR 4404288164,2017-02,846.796116
FR 4404288165,2017-02,1092.621359
FR 4404288167,2017-02,875.631067
FR 4404288168,2017-02,1061.844660
FR 4404288169,2017-02,978.155339
FR 4404288172,2017-02,893.398058
FR 4404288174,2017-02,768.737864
FR 4404288175,2017-02,861.844660
FR 4404288176,2017-02,1018.349514
FR 4404288177,2017-02,1024.174757
FR 4404288178,2017-02,56.213592
FR 4404288180,2017-02,658.932038
FR 4404288181,2017-02,377.281553
FR 4404288183,2017-02,452.233009
FR 4404288184,2017-02,265.728155
FR 4404288185,2017-02,748.737864
FR 4404288188,2017-02,77.572815
FR 4404658920,2017-02,845.436893
FR 4404658938,2017-02,623.398058
FR 4404658982,2017-02,831.553398
FR 4404659023,2017-02,1082.621359
FR 4404659034,2017-02,817.864077
FR 4454691592,2017-02,860.388349
FR 4454691593,2017-02,1214.757281
FR 4912264927,2017-02,642.912621
FR 4945368325,2017-02,568.058252
FR 4950954269,2017-02,609.902912
FR 4950954270,2017-02,17.475728
FR 4956691421,2017-02,549.611650
FR 4958880362,2017-02,688.737864
FR 4958880363,2017-02,486.699029
FR 4963097404,2017-02,836.213592
FR 4404288028,2017-03,534.466019
FR 4404288029,2017-03,778.640776
FR 4404288045,2017-03,543.495145
FR 4404288050,2017-03,1336.990291
FR 4404288063,2017-03,218.058252
FR 4404288068,2017-03,796.213592
FR 4404288069,2017-03,737.184466
FR 4404288073,2017-03,319.805825
FR 4404288075,2017-03,949.320388
FR 4404288079,2017-03,1105.339805
FR 4404288080,2017-03,894.563106
FR 4404288082,2017-03,790.873786
FR 4404288083,2017-03,774.660194
FR 4404288088,2017-03,824.271844
FR 4404288097,2017-03,878.349514
FR 4404288098,2017-03,845.533980
FR 4404288100,2017-03,890.970873
FR 4404288101,2017-03,1007.864077
FR 4404288102,2017-03,734.077669
FR 4404288105,2017-03,1208.834951
FR 4404288109,2017-03,550.776699
FR 4404288110,2017-03,710.970873
FR 4404288111,2017-03,734.563106
FR 4404288112,2017-03,978.834951
FR 4404288115,2017-03,941.941747
FR 4404288116,2017-03,1210.291262
FR 4404288120,2017-03,1350.000000
FR 4404288121,2017-03,1040.485436
FR 4404288122,2017-03,665.242718
FR 4404288126,2017-03,813.883495
FR 4404288127,2017-03,957.864077
FR 4404288128,2017-03,687.087378
FR 4404288129,2017-03,493.786407
FR 4404288130,2017-03,874.854368
FR 4404288131,2017-03,1040.776699
FR 4404288132,2017-03,1192.038834
FR 4404288134,2017-03,1103.883495
FR 4404288136,2017-03,1129.029126
FR 4404288137,2017-03,920.970873
FR 4404288138,2017-03,949.126213
FR 4404288139,2017-03,641.359223
FR 4404288141,2017-03,1187.087378
FR 4404288142,2017-03,611.844660
FR 4404288143,2017-03,728.252427
FR 4404288145,2017-03,623.300970
FR 4404288146,2017-03,45.048543
FR 4404288149,2017-03,621.262135
FR 4404288154,2017-03,570.873786
FR 4404288155,2017-03,879.320388
FR 4404288156,2017-03,786.504854
FR 4404288157,2017-03,621.359223
FR 4404288158,2017-03,772.135922
FR 4404288159,2017-03,796.213592
FR 4404288161,2017-03,657.281553
FR 4404288162,2017-03,892.718446
FR 4404288163,2017-03,853.300970
FR 4404288164,2017-03,873.592233
FR 4404288165,2017-03,1162.718446
FR 4404288167,2017-03,967.864077
FR 4404288168,2017-03,1036.699029
FR 4404288169,2017-03,1029.708737
FR 4404288170,2017-03,273.980582
FR 4404288171,2017-03,355.825242
FR 4404288172,2017-03,968.640776
FR 4404288174,2017-03,799.611650
FR 4404288175,2017-03,935.436893
FR 4404288176,2017-03,1035.533980
FR 4404288177,2017-03,988.834951
FR 4404288178,2017-03,794.466019
FR 4404288180,2017-03,709.126213
FR 4404288181,2017-03,719.029126
FR 4404288182,2017-03,593.300970
FR 4404288183,2017-03,579.126213
FR 4404288184,2017-03,966.407766
FR 4404288185,2017-03,810.194174
FR 4404288186,2017-03,690.291262
FR 4404288187,2017-03,478.155339
FR 4404288188,2017-03,846.019417
FR 4404288191,2017-03,311.553398
FR 4404288192,2017-03,8.737864
FR 4404658920,2017-03,889.029126
FR 4404658938,2017-03,651.844660
FR 4404658982,2017-03,823.203883
FR 4404659023,2017-03,1109.417475
FR 4404659034,2017-03,932.038834
FR 4454691592,2017-03,372.524271
FR 4454691593,2017-03,1237.281553
FR 4912264927,2017-03,569.805825
FR 4945368325,2017-03,621.067961
FR 4950954269,2017-03,616.504854
FR 4956691421,2017-03,615.728155
FR 4958880362,2017-03,701.747572
FR 4963097404,2017-03,918.640776
FR 4968695856,2017-03,763.106796
FR 4404288028,2017-04,416.116504
FR 4404288029,2017-04,714.854368
FR 4404288045,2017-04,511.650485
FR 4404288050,2017-04,1081.067961
FR 4404288068,2017-04,901.747572
FR 4404288069,2017-04,579.708737
