AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,avg_daily_yield,early_lactation_yield,mid_lactation_yield,delta_early_mid_yield,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,AniLifeNumber
111,1,1,2015-04-04 00:00:00.000,438,NULL,2015-04-11 19:38:00.000,2015-04-04 00:00:00.000,2016-01-11 00:00:00.000,282,6665.145631,24.344326,628.737847,1572.232980,943.495133,4.659929,3.257314,2016-01-11 00:00:00.000,65,FR 4401572135
111,2,3,2016-03-16 00:00:00.000,528,NULL,2016-03-23 11:38:00.000,2016-03-16 00:00:00.000,2016-12-24 00:00:00.000,283,7763.980582,28.257597,910.291248,2003.592198,1093.300950,4.244049,3.368429,2016-12-24 00:00:00.000,84,FR 4401572135
111,3,4,2017-03-18 00:00:00.000,638,,2017-03-22 10:16:00.000,2017-03-18 00:00:00.000,2018-01-12 00:00:00.000,300,8605.145631,29.544333,910.776685,2105.145602,1194.368917,NULL,NULL,2018-01-12 00:00:00.000,129,FR 4401572135
111,4,5,2018-05-21 00:00:00.000,759,,2018-05-26 08:09:00.000,2018-05-21 00:00:00.000,2019-05-30 00:00:00.000,374,10947.184466,30.148663,1064.951442,2327.766961,1262.815519,NULL,NULL,2019-05-30 00:00:00.000,94,FR 4401572135
111,5,6,2019-09-01 00:00:00.000,902,,2019-09-06 18:54:00.000,2019-09-01 00:00:00.000,2020-09-02 00:00:00.000,367,11809.126213,33.142779,1093.009694,2552.815504,1459.805810,NULL,NULL,2020-09-02 00:00:00.000,75,FR 4401572135
111,6,7,2020-11-14 00:00:00.000,1077,,2020-11-17 08:33:00.000,2020-11-16 00:00:00.000,2021-09-20 00:00:00.000,308,10143.203883,33.920454,1007.961153,2332.912594,1324.951441,4.698723,3.408191,2021-09-20 00:00:00.000,54,FR 4401572135
111,7,8,2021-11-12 00:00:00.000,1218,,2021-11-19 00:00:00.000,2021-11-13 00:00:00.000,2022-04-28 00:00:00.000,166,6390.970873,39.654819,1129.999985,2520.291237,1390.291252,3.951939,3.681636,2022-04-28 00:00:00.000,180,FR 4401572135
111,8,9,2022-10-25 00:00:00.000,1347,,2022-11-01 10:19:00.000,2022-10-25 00:00:00.000,2023-08-09 00:00:00.000,288,10231.941747,36.593402,1009.902896,2512.038803,1502.135907,4.416406,3.495800,2023-08-09 00:00:00.000,82,FR 4401572135
111,9,10,2023-10-29 00:00:00.000,1470,,2023-11-06 12:37:00.000,2023-10-30 00:00:00.000,2024-03-06 00:00:00.000,128,3907.669902,31.444531,854.951442,2055.922300,1200.970858,4.060078,3.711181,2024-03-06 00:00:00.000,NULL,FR 4401572135
112,1,1,2015-04-11 00:00:00.000,442,NULL,2015-04-18 18:14:00.000,2015-04-11 00:00:00.000,2016-02-14 00:00:00.000,309,10301.747572,34.339158,753.495130,2158.058220,1404.563090,4.105895,3.144006,2016-02-14 00:00:00.000,43,FR 4401572136
112,2,2,2016-03-28 00:00:00.000,532,,2016-04-04 17:37:00.000,2016-03-28 00:00:00.000,2017-04-20 00:00:00.000,388,12475.825242,33.118814,1164.660179,2646.407735,1481.747556,4.273975,3.548633,2017-04-20 00:00:00.000,145,FR 4401572136
112,3,3,2017-09-12 00:00:00.000,684,,2017-09-16 17:52:00.000,2017-09-12 00:00:00.000,2018-10-05 00:00:00.000,388,12987.766990,34.477835,986.019400,2580.970843,1594.951443,NULL,NULL,2018-10-05 00:00:00.000,45,FR 4401572136
112,4,4,2018-11-19 00:00:00.000,836,,2018-11-24 10:09:00.000,2018-11-19 00:00:00.000,2019-08-22 00:00:00.000,276,6642.427184,24.788768,785.825226,1806.116473,1020.291247,NULL,NULL,2019-08-22 00:00:00.000,78,FR 4401572136
