"","InsId","InsNumber","InsDate","InsSirId","InsChargeNumber","InsSequenceNumber","InsLacId","InsConId","InsRemarks","AniLifeNumber","AniBirthday","AniKeep","AniGenId","AniActive","AniMotherLifeNumber","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","milk_production_start_date","milk_production_end_date","lactation_duration","total_milk_production","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","still_milking","LacAniId","LacRemarks","LacColostrumDate","PreDate","PreRemark","successful_insem"
"2916",3932,3,2023-01-13,118,NA,1,1936,0,NA,"FR4404283104",2018-09-17,TRUE,2,TRUE,"FR 4404288139",3,3,2022-09-23,"2022-09-24 00:00:00.000","2023-09-04 00:00:00.000",345,11677.8,"4.898786","3.470867","2023-09-04 00:00:00.000","109",0,"334","",2022-09-30 18:08:00,NA,NA,FALSE
"2917",3933,1,2023-01-16,410,NA,1,1977,0,NA,"FR4404288467",2020-09-17,TRUE,2,FALSE,"FR 4404288349",1,1,2022-11-13,"2022-11-14 00:00:00.000","2023-09-29 00:00:00.000",319,10330.2,"4.644093","3.245156","2023-09-29 00:00:00.000","61",0,"709","",2022-11-20 16:02:00,NA,NA,FALSE
"2918",3934,2,2023-01-16,407,NA,1,1949,0,NA,"FR4404288407",2019-08-01,TRUE,2,FALSE,"FR 4404288302",2,2,2022-10-14,"2022-10-15 00:00:00.000","2023-08-25 00:00:00.000",314,14283.2,"3.011746","2.985873","2023-08-25 00:00:00.000","60",0,"386","",2022-10-21 18:20:00,2023-02-28,"",TRUE
"2919",3935,1,2023-01-16,416,NA,1,1707,0,NA,"FR4404288530",2021-09-22,TRUE,2,TRUE,"FR 4404288349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"2920",3936,1,2023-01-18,394,NA,1,1715,0,NA,"FR4404288531",2021-10-02,TRUE,2,TRUE,"FR 4404288348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-05,"",TRUE
"2921",3937,1,2023-01-23,415,NA,1,1699,0,NA,"FR4404288528",2021-09-08,TRUE,2,TRUE,"FR 4404288324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"2922",3938,4,2023-01-23,401,NA,1,1679,0,NA,"FR4404288522",2021-08-25,TRUE,2,TRUE,"FR 4404288409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"2923",3939,1,2023-01-24,118,NA,1,1982,0,NA,"FR4404288194",2015-04-01,TRUE,2,FALSE,"FR 4950954270",6,6,2022-11-22,"2022-11-22 00:00:00.000","2023-09-22 00:00:00.000",304,12791.8,"6.115213","3.405278","2023-09-22 00:00:00.000","NULL",1,"131","",2022-11-29 14:12:00,NA,NA,FALSE
"2924",3940,1,2023-01-25,355,NA,1,1989,0,NA,"FR4404288463",2020-08-31,TRUE,2,FALSE,"FR 4404288303",1,1,2022-12-05,"2022-12-05 00:00:00.000","2023-07-04 00:00:00.000",211,8127.5,"4.881132","3.411839","2023-07-04 00:00:00.000","NULL",1,"703","+ ORBESEAL",2022-12-08 09:46:00,NA,NA,FALSE
"2925",3941,2,2023-01-26,355,NA,1,1974,0,NA,"FR4404288462",2020-08-26,TRUE,2,FALSE,"FR 4404288343",1,1,2022-11-10,"2022-11-10 00:00:00.000","2023-06-06 00:00:00.000",208,7333.4,"4.097607","3.382009","2023-06-06 00:00:00.000","NULL",1,"701","+ ORBESEAL",2022-11-15 07:07:00,2023-05-12,"",TRUE
