AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,avg_daily_yield,early_lactation_yield,mid_lactation_yield,delta_early_mid_yield,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,AniLifeNumber
861,2,2,2024-09-12 00:00:00.000,2373,+ ORBESEAL,2024-09-19 21:08:00.000,2024-09-14 00:00:00.000,2024-09-18 00:00:00.000,4,19.223300,4.950000,19.223300,0.000000,-19.223300,2.476666,4.003333,2024-09-18 00:00:00.000,NULL,FR 4404288526
864,1,1,2024-01-06 00:00:00.000,2234,NULL,2024-01-11 10:27:00.000,2024-01-07 00:00:00.000,2024-09-19 00:00:00.000,256,8731.067961,35.128906,841.747560,2439.417449,1597.669889,4.197343,3.265117,2024-09-19 00:00:00.000,NULL,FR 4404288527
865,1,1,2023-12-07 00:00:00.000,2211,NULL,2023-12-14 19:05:00.000,2023-12-08 00:00:00.000,2024-09-18 00:00:00.000,285,10065.728155,36.377894,837.281539,2410.776669,1573.495130,4.886293,3.760594,2024-09-18 00:00:00.000,NULL,FR 4404288528
867,1,1,2024-01-04 00:00:00.000,2230,NULL,2024-01-11 15:33:00.000,2024-01-04 00:00:00.000,2024-09-19 00:00:00.000,259,9494.174757,37.756756,846.699014,2480.388319,1633.689305,5.288846,3.446038,2024-09-19 00:00:00.000,NULL,FR 4404288529
869,1,1,2023-11-06 00:00:00.000,2200,+ ORBESEAL,2023-11-13 14:48:00.000,2023-11-07 00:00:00.000,2024-08-09 00:00:00.000,276,9266.310679,34.580797,760.485422,2040.388322,1279.902900,4.054945,3.467400,2024-08-09 00:00:00.000,NULL,FR 4404288530
870,1,1,2023-10-23 00:00:00.000,2193,+ ORBESEAL,2023-10-30 15:01:00.000,2023-10-23 00:00:00.000,2024-07-19 00:00:00.000,270,9278.932038,35.397407,697.184451,2091.747541,1394.563090,4.912666,3.476148,2024-07-19 00:00:00.000,57,FR 4404288531
870,2,2,2024-09-14 00:00:00.000,2381,NULL,2024-09-21 09:43:00.000,2024-09-14 00:00:00.000,2024-09-18 00:00:00.000,4,51.359223,13.225000,51.359220,0.000000,-51.359220,4.008000,4.510000,2024-09-18 00:00:00.000,NULL,FR 4404288531
871,1,1,2024-01-15 00:00:00.000,2243,NULL,2024-01-22 16:19:00.000,2024-01-15 00:00:00.000,2024-09-19 00:00:00.000,248,7476.601941,31.052016,555.145616,1921.262109,1366.116493,4.451290,3.377419,2024-09-19 00:00:00.000,NULL,FR 4404288532
873,1,1,2023-11-14 00:00:00.000,2206,NULL,2023-11-21 08:57:00.000,2023-11-14 00:00:00.000,2024-09-19 00:00:00.000,310,12141.456310,40.340967,1006.699014,2543.203855,1536.504841,5.389003,3.221254,2024-09-19 00:00:00.000,NULL,FR 4404288533
874,1,1,2023-11-11 00:00:00.000,2202,NULL,2023-11-18 19:40:00.000,2023-11-12 00:00:00.000,2024-09-19 00:00:00.000,312,10605.533980,35.011858,852.135909,2316.990261,1464.854352,4.881378,3.530256,2024-09-19 00:00:00.000,NULL,FR 4404288534
