"","InsId","InsSirId","InsNumber","InsRemarks","InsDate","InsLacId","AniId","AniLifeNumber","AniBirthday","AniGenId","AniMotherLifeNumber","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacRemarks","LacColostrumDate","dry_off_date","dry_off_interval","AniActive","category","customer_id","date","entry_code","entry_date","exit_code","exit_date","month","year"
"67",315,NA,1,"",2017-01-10,418,18,"FR4404288080",2011-07-01,2,"FR 4404288024",4,1,2016-11-01,"ordon  610008232",2016-11-08,2017-08-14,68,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"M",2020-06-17,1,2015
"68",1974,NA,1,"",2019-02-01,790,18,"FR4404288080",2011-07-01,2,"FR 4404288024",6,3,2018-11-05,"",2018-11-12,2019-10-28,58,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"M",2020-06-17,1,2015
"69",2024,NA,2,"",2019-03-26,790,18,"FR4404288080",2011-07-01,2,"FR 4404288024",6,3,2018-11-05,"",2018-11-12,2019-10-28,58,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"M",2020-06-17,1,2015
"70",2394,NA,1,NA,2020-02-25,1010,18,"FR4404288080",2011-07-01,2,"FR 4404288024",7,4,2019-12-25,"taritral",2020-01-01,2020-06-04,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"M",2020-06-17,1,2015
"71",2439,NA,2,NA,2020-03-17,1010,18,"FR4404288080",2011-07-01,2,"FR 4404288024",7,4,2019-12-25,"taritral",2020-01-01,2020-06-04,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"M",2020-06-17,1,2015
"72",212,NA,1,"",2016-09-02,240,19,"FR4404288081",2011-07-06,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",237,NA,2,"",2016-10-19,240,19,"FR4404288081",2011-07-06,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1541,NA,2,"",2017-10-14,546,19,"FR4404288081",2011-07-06,2,"",4,2,2017-07-22,"",2017-07-26,2018-01-02,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-07-06,"B",2018-01-02,1,2015
"75",1524,NA,1,"",2017-09-19,546,19,"FR4404288081",2011-07-06,2,"",4,2,2017-07-22,"",2017-07-26,2018-01-02,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-07-06,"B",2018-01-02,1,2015
"76",1563,NA,3,"",2017-11-04,546,19,"FR4404288081",2011-07-06,2,"",4,2,2017-07-22,"",2017-07-26,2018-01-02,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-07-06,"B",2018-01-02,1,2015
"77",1569,NA,4,"",2017-11-09,546,19,"FR4404288081",2011-07-06,2,"",4,2,2017-07-22,"",2017-07-26,2018-01-02,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-07-06,"B",2018-01-02,1,2015
"78",23,NA,1,"",2016-02-17,243,20,"FR4404288082",2011-07-13,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",24,NA,1,"",2015-12-14,246,21,"FR4404288083",2011-07-15,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",25,NA,1,"",2015-12-19,251,23,"FR4404288088",2011-10-01,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",272,NA,1,"",2016-11-19,389,23,"FR4404288088",2011-10-01,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1581,NA,1,"",2017-11-13,576,23,"FR4404288088",2011-10-01,2,"",5,2,2017-08-23,"",2017-08-30,2018-09-19,102,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-10-01,"M",2019-08-26,1,2015
"83",1639,NA,2,"",2018-01-04,576,23,"FR4404288088",2011-10-01,2,"",5,2,2017-08-23,"",2017-08-30,2018-09-19,102,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-10-01,"M",2019-08-26,1,2015
"84",2002,NA,1,"",2019-03-02,840,23,"FR4404288088",2011-10-01,2,"",6,3,2018-12-29,"NULL",2019-01-05,2019-08-24,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-10-01,"M",2019-08-26,1,2015
"85",1691,NA,3,"",2018-02-23,576,23,"FR4404288088",2011-10-01,2,"",5,2,2017-08-23,"",2017-08-30,2018-09-19,102,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-10-01,"M",2019-08-26,1,2015
"86",1714,NA,4,"",2018-03-21,576,23,"FR4404288088",2011-10-01,2,"",5,2,2017-08-23,"",2017-08-30,2018-09-19,102,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-10-01,"M",2019-08-26,1,2015
"87",26,NA,1,"",2015-10-30,253,24,"FR4404288092",2011-12-06,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",27,NA,2,"",2015-11-19,253,24,"FR4404288092",2011-12-06,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",28,NA,3,"",2015-12-12,253,24,"FR4404288092",2011-12-06,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",29,NA,4,"",2016-01-05,253,24,"FR4404288092",2011-12-06,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",210,NA,2,"",2016-08-31,256,25,"FR4404288094",2011-12-19,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",192,NA,1,"",2016-08-10,256,25,"FR4404288094",2011-12-19,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1547,NA,3,"",2017-10-19,522,25,"FR4404288094",2011-12-19,2,"",4,2,2017-06-05,"mort à suite d'une caillette mal placé.cause changement de silo de méteil",2017-06-12,2018-01-29,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-12-19,"M",2018-01-31,1,2015
"94",1525,NA,2,"",2017-09-28,522,25,"FR4404288094",2011-12-19,2,"",4,2,2017-06-05,"mort à suite d'une caillette mal placé.cause changement de silo de méteil",2017-06-12,2018-01-29,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-12-19,"M",2018-01-31,1,2015
"95",513,NA,1,"",2017-09-08,522,25,"FR4404288094",2011-12-19,2,"",4,2,2017-06-05,"mort à suite d'une caillette mal placé.cause changement de silo de méteil",2017-06-12,2018-01-29,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-12-19,"M",2018-01-31,1,2015
"96",375,NA,1,"",2017-04-05,445,26,"FR4404288097",2012-01-13,2,"",3,1,2016-12-01,"",2016-12-08,2017-10-11,91,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-01-13,"B",2019-07-29,1,2015
