"","AniLifeNumber","lac_number_calculated","AniBirthday","AniActive","milk_production_start_date","milk_production_end_date","last_milk_date","total_milk_prod","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","still_milking","LacCalvingDate","age_at_first_calving","lactation_duration"
"75","FR4404288101",3,2012-03-18,FALSE,2018-12-08,2019-09-23,2019-09-23,10692.3,3.94708474576271,3.31952542372881,2019-09-23,61,FALSE,2018-12-08,30,289
"76","FR4404288101",4,2012-03-18,FALSE,2019-11-23,2020-10-19,2020-10-19,11316.5,4.15777448071217,3.35908011869436,2020-10-19,137,FALSE,2019-11-23,30,331
"77","FR4404288101",5,2012-03-18,FALSE,2021-03-05,2021-12-01,2021-12-01,9218.4,4.03341818181818,3.36865454545455,2021-12-01,NA,FALSE,2021-03-04,30,271
"78","FR4404288102",2,2012-04-09,FALSE,2017-08-31,2018-10-23,2018-10-23,13155.6,3.98480186480186,3.34340326340326,2018-10-23,93,FALSE,2017-08-31,24,418
"79","FR4404288102",3,2012-04-09,FALSE,2019-01-24,2019-12-02,2019-12-02,11003.3,3.55602523659306,3.25946372239748,2019-12-02,NA,FALSE,2019-01-24,24,312
"80","FR4404288105",1,2012-04-11,FALSE,2016-12-17,2017-12-01,2017-12-01,12134,4.38224431818182,3.500625,2017-12-01,178,FALSE,2016-12-17,24,349
"81","FR4404288105",2,2012-04-11,FALSE,2018-05-28,2018-11-24,2018-11-24,7463.5,3.79135869565217,3.29353260869565,2018-11-24,NA,FALSE,2018-05-27,24,180
"82","FR4404288109",2,2012-07-04,FALSE,2017-09-14,2017-09-14,2017-09-14,5.9,2.63,4.74,2017-09-14,NA,FALSE,2017-09-14,26,0
"83","FR4404288111",2,2012-07-31,FALSE,2017-09-12,2018-07-17,2018-07-17,12022.5,4.37315457413249,3.43545741324921,2018-07-17,28,FALSE,2017-09-12,26,308
"84","FR4404288111",4,2012-07-31,FALSE,2018-09-03,2018-09-06,2018-09-06,9.1,1.005,3.895,2018-09-06,NA,FALSE,2018-09-03,26,3
"85","FR4404288112",1,2012-07-31,FALSE,2016-12-14,2017-10-11,2017-10-11,8821.7,5.55234323432343,2.99290429042904,2017-10-11,106,FALSE,2016-12-14,24,301
"86","FR4404288115",2,2012-09-17,FALSE,2017-01-28,2018-02-13,2018-02-13,10723.5,5.23901554404145,3.29020725388601,2018-02-13,55,FALSE,2017-01-28,26,381
"87","FR4404288115",3,2012-09-17,FALSE,2018-04-09,2019-01-23,2019-01-23,9538,5.16787162162162,3.18793918918919,2019-01-23,44,FALSE,2018-04-09,26,289
"88","FR4404288115",4,2012-09-17,FALSE,2019-03-08,2019-12-18,2019-12-18,7828.6,5.18656357388316,3.33096219931271,2019-12-18,NA,FALSE,2019-03-07,26,285
"89","FR4404288116",2,2012-09-19,FALSE,2016-12-22,2017-10-11,2017-10-11,9032.3,3.72094915254237,3.35796610169492,2017-10-11,NA,FALSE,2016-12-22,24,293
"90","FR4404288120",2,2012-10-01,FALSE,2016-12-23,2017-10-19,2017-10-19,11844.1,4.42165562913907,3.48546357615894,2017-10-19,72,FALSE,2016-12-23,25,300
"91","FR4404288120",3,2012-10-01,FALSE,2017-12-30,2018-12-11,2018-12-11,14934.5,4.40760563380282,3.4672676056338,2018-12-11,56,FALSE,2017-12-30,25,346
"92","FR4404288120",4,2012-10-01,FALSE,2019-02-05,2019-11-22,2019-11-22,12103.9,4.40266211604096,3.43877133105802,2019-11-22,11,FALSE,2019-02-05,25,290
"93","FR4404288121",2,2012-10-05,FALSE,2017-12-05,2018-10-02,2018-10-02,10770.5,4.17880258899676,3.42368932038835,2018-10-02,59,FALSE,2017-12-04,25,301
